id,fecha,usuario,nombre,texto,likes,retweets,respuestas,vistas,es_verificado,url,hashtags,num_respuestas_descargadas
924580001198100481,2017-10-29T10:13:44Z,Hortanco,Embutidos Hortanco,En estos momentos el jurado está valorando las #chistorras presentadas al XII Concurso Navarro. Entre ellas se encuentra la nuestra. Suerte!,1,1,0,0,False,https://twitter.com/Hortanco/status/924580001198100481,chistorras,0
921790696675266562,2017-10-21T17:30:02Z,denaona,Bar Rest. Dena Ona,#chistorras #menu #tapas #delicioso #goodtimes #findesemana #sabado #chacao #elrosal #yummylicious #buenprovecho https://pbs.twimg.com/media/DMogv2BW0AAjNFz.png,0,0,0,0,False,https://twitter.com/denaona/status/921790696675266562,"chistorras,menu,tapas,delicioso,goodtimes,findesemana,sabado,chacao,elrosal,yummylicious,buenprovecho",0
917510333366980608,2017-10-09T22:01:24Z,BelleVueCaracas,BelleVueCaracas,"#Arepitas, #chistorras, y #ceviche son algunas de las #entradas que ofrecemos en #BelleVue. Conoce otras aquí: http://bellevuecaracas.com/2016/10/18/sobre-como-abrir-el-apetito-entradas-gastronomicas/ https://pbs.twimg.com/media/DLumyPLX4AA8SGY.jpg",0,0,0,0,False,https://twitter.com/BelleVueCaracas/status/917510333366980608,"Arepitas,chistorras,ceviche,entradas,BelleVue",0
915716280287731712,2017-10-04T23:12:29Z,BodegonLaTinaja,Bodegón La Tinaja.,"#ChorizosGourmet con calidad #HerrMeyer ... #Chistorras #CarneDeCerdo #CarneDeRes #Butifarra 
#BodegonLaTinaja 72. https://pbs.twimg.com/media/DLVHGZAW0AgP6l8.jpg",0,0,0,0,False,https://twitter.com/BodegonLaTinaja/status/915716280287731712,"ChorizosGourmet,HerrMeyer,Chistorras,CarneDeCerdo,CarneDeRes,Butifarra,BodegonLaTinaja",0
914158466603896832,2017-09-30T16:02:17Z,BelleVueCaracas,BelleVueCaracas,Unas #chistorras para degustar antes de almorzar es la entrada perfecta para este sábado. https://pbs.twimg.com/media/DK--R6sU8AAlzyC.jpg,0,0,0,0,False,https://twitter.com/BelleVueCaracas/status/914158466603896832,chistorras,0
911982995208331264,2017-09-24T15:57:44Z,denaona,Bar Rest. Dena Ona,#domingo #chistorras #entradas #tapas #menu #chef #demasiadobueno #delicioso #yummylicious #familia #goodtimes #restaurant https://pbs.twimg.com/media/DKgDbBqXoAAp8Kx.png,0,0,0,0,False,https://twitter.com/denaona/status/911982995208331264,"domingo,chistorras,entradas,tapas,menu,chef,demasiadobueno,delicioso,yummylicious,familia,goodtimes,restaurant",0
902954606132645888,2017-08-30T18:02:08Z,BelleVueCaracas,BelleVueCaracas,¿Qué tal unas #chistorras para compensar la angustia post #temblor? ¡Ven hoy a #BelleVue! https://pbs.twimg.com/media/DIfwbaLUMAAA1-A.jpg,2,0,0,0,False,https://twitter.com/BelleVueCaracas/status/902954606132645888,"chistorras,temblor,BelleVue",0
898692274921455616,2017-08-18T23:45:09Z,tabernademarisa,La Taberna de Marisa,#Tapeoespañol de calidad. Unas #chistorras de Navarra para comenzar un buen #finde en @tabernademarisa #estapasando #felizsabado https://pbs.twimg.com/media/DHjL3DJVoAEGklD.jpg,0,0,0,0,False,https://twitter.com/tabernademarisa/status/898692274921455616,"Tapeoespañol,chistorras,finde,estapasando,felizsabado",0
895661517261217794,2017-08-10T15:02:00Z,BelleVueCaracas,BelleVueCaracas,"Casi llega el fin de semana, ¿qué tal una ración de #chistorras para festejarlo?",0,0,0,0,False,https://twitter.com/BelleVueCaracas/status/895661517261217794,chistorras,0
894633299972435969,2017-08-07T18:56:14Z,Brisa_de_espana,Brisa de España,Always an appetitive likes Fried Chistorras is an excellent choice✅ #chistorras #friedchistorrasauce #apperitive #spanishfood #brisadeespana https://pbs.twimg.com/media/DGpgOg3UAAAVeHh.jpg,2,1,0,0,False,https://twitter.com/Brisa_de_espana/status/894633299972435969,"chistorras,friedchistorrasauce,apperitive,spanishfood,brisadeespana",0
893793398011854848,2017-08-05T11:18:46Z,saintdelaurent,𝒸𝒾𝓉𝓎 𝑔𝒾𝓇𝓁,@BeeitaCR #quenotedejosola #nosquedamossincome #chistorras,1,1,0,0,False,https://twitter.com/saintdelaurent/status/893793398011854848,"quenotedejosola,nosquedamossincome,chistorras",0
893434954377555968,2017-08-04T11:34:26Z,PampRestaurant,PamplonaRestauración,GuriaBar: RT HONESTUS_es: Queremos que quien nos visite se lleve lo mejor de #Navarra y en #chistorras tenemos nue… https://x.com/i/web/status/893171108953935872,0,0,0,0,False,https://twitter.com/PampRestaurant/status/893434954377555968,"Navarra,chistorras",0
893171108953935872,2017-08-03T18:06:01Z,HONESTUS_es,HONESTUS,Queremos que quien nos visite se lleve lo mejor de #Navarra y en #chistorras tenemos nuestro experto... el mejor @josey_dani #LlévateNavarra https://pbs.twimg.com/media/DGUuOBWVwAEpoUt.jpg,8,1,0,0,False,https://twitter.com/HONESTUS_es/status/893171108953935872,"Navarra,chistorras,LlévateNavarra",0
889604245170860032,2017-07-24T21:52:34Z,BodegonLaTinaja,Bodegón La Tinaja.,Los mejores productos los encuentras al mejor precio en #BodegonLaTinaja en la calle 72. #Chistorras de #HerrMeyer https://pbs.twimg.com/media/DFiCWA1XkAIjkJ4.jpg,0,0,0,0,False,https://twitter.com/BodegonLaTinaja/status/889604245170860032,"BodegonLaTinaja,Chistorras,HerrMeyer",0
888366152774189056,2017-07-21T11:52:50Z,verumrestaurant,verumrestaurante,Todos conocen ya nuestras #chistorras artesanas de Navarra... y tu? https://pbs.twimg.com/media/DFQcS0IXgAATtcB.jpg,1,0,0,0,False,https://twitter.com/verumrestaurant/status/888366152774189056,chistorras,0
884867478752555012,2017-07-11T20:10:21Z,PirineusBR,Pirineus Embutidos,"Foto boa temos que repostar!! 
Nossas #chistorras frescas na grelha... 
#Repost @cheffininho
・・・
Das coisas boas... http://fb.me/6L6mwTBfH",0,0,0,0,False,https://twitter.com/PirineusBR/status/884867478752555012,"chistorras,Repost",0
884106125208977409,2017-07-09T17:45:00Z,denaona,Bar Rest. Dena Ona,#chistorras #tapas #sabor #entrada #menu #cheflife #demasiadobueno #familytime #goodtimes https://pbs.twimg.com/media/DETw1QTXgAEFdnz.jpg,0,0,0,0,False,https://twitter.com/denaona/status/884106125208977409,"chistorras,tapas,sabor,entrada,menu,cheflife,demasiadobueno,familytime,goodtimes",0
